Nouvelle version: https://lnkd.in/dH5Uq4z9,,,
Titre,Société,Description,Lien
Stage pre-embauche-designer graphique,Soul & Planet,"Êtes-vous créatif, débordant d’idées visuelles et avez-vous le sens esthétique du bon design ? Êtes-vous intéressé par le design durable ? Vous pourriez être le candidat idéal pour rejoindre notre équipe et aider nos start-ups à atteindre de nouveaux sommets et orientations.

En tant que designer graphique, vous collaborerez avec notre directeur artistique pour développer et créer une identité visuelle cohérente et reconnaissable pour notre marque sur les réseaux sociaux et notre site web.
• Vous conceptualisez et créez des graphiques, des mises en page et des illustrations pour les réseaux sociaux, le site web et les offres B2B.
• Conception et production de supports de communication et de marketing pour les événements (imprimés)
• Retouche photo
• Collaboration avec différents acteurs et clients
• Participation à la recherche de nouveaux concepts et idées innovants
• Travailler et s’organiser dans des délais serrés et avec un minimum de supervision directe
• Travailler en étroite collaboration avec les membres de l’équipe pour veiller à ce que le développement du design soit conforme aux lignes directrices de la marque et à la vision.
• Vous devez fournir votre propre ordinateur.

Qualifications :
• Formation : Des compétences extraordinaires et une soif constante d’apprendre et de s’améliorer.
• Personnalité : Motivé(e), créatif(ve), entreprenant(e), attentif(ve), capable de travailler en équipe, communicatif(ve).
• Méthode de travail : Une façon de travailler structurée et organisée, une pensée et une action stratégiques ainsi qu’une approche axée sur les solutions.
• Savoir-faire : Capacité à travailler avec les logiciels Adobe Creative Suite : Photoshop, Illustrator, Adobe XD, Microsoft Office Suite, principalement PowerPoint (la connaissance d’autres programmes Adobe ou d’autres développeurs est un avantage).

Pourquoi vous ?
• Vous avez une mentalité de croissance et vous cherchez toujours à apprendre et à vous améliorer.
• Vous avez une attitude positive, un bon sens de l’humour et le désir de travailler dans un environnement dynamique et en constante évolution.
• Vous êtes un joueur d’équipe enthousiaste et solidaire, capable de travailler efficacement en collaboration avec les autres.
• Vous savez vous adapter pour travailler sur plusieurs projets simultanément.
• Passionné(e) par le design et soucieux(se) du détail.
• Vous avez une compréhension claire et démontrée de l’équilibre, de la composition, de ce qui fait une excellente mise en page, de l’exécution correcte des styles et de la hiérarchie de typographie, de la théorie des couleurs, de l’espace vide, et vous êtes capable de réaliser un travail exceptionnel selon ces normes.
• Vous avez un œil intuitif pour les besoins des clients au-delà de l’évidence, ainsi qu’une excellente attention aux détails.

Avantages :
• Une direction transparente et une culture collaborative qui vous permettent de voir les rouages internes d’une start-up en pleine croissance (stratégie, prise de décision, performances commerciales), afin que vous puissiez apprendre au-delà de votre rôle.
• Un soutien en santé mentale.
• Un budget de formation pour assister à des conférences, des ateliers, etc.
• Vous verrez rapidement les résultats de votre travail et aurez un impact significatif sur la trajectoire de l’entreprise.
• À la fin du stage, un contrat peut être proposé.
• Une équipe formidable et pleine d’humour vous attend.",https://www.tunisie-emploi.tn/job/stage-pre-embauche-designer-graphique/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Internship - HRBP  – People & Culture Catalyst,Axe Finance,"Founded in 2004, Axe Finance is a global market-leading software provider focused on credit risk automation for lenders looking to provide an efficient, competitive, and seamless omnichannel financing journey. Axe Finance developed Axe Credit Portal (ACP), a future-proof AI-driven solution to automate the entire credit lifecycle from KYC to servicing including origination, credit scoring, and automatic decision-making. ACP is a multi-segment digital lending solution covering not only Retail, Commercial, Corporate, FIs, and Sovereign segments but also other specific types of lending such as embedded financing, and Islamic finance.

Joining Axe Finance is to become part of a fast-growing fintech company with a footprint in 32 countries and more than 45,000 users of our technology around the globe.

We’re excited to welcome a Summer Intern to join our HRBP team! The HRBP team plays a strategic role in aligning people strategies with business goals. A key priority is to drive employee engagement and cultivate a strong, inclusive culture. The team is committed to fostering a dynamic and empowering workplace where employees can thrive.

Internship Topic: How Organizations Foster Creativity and Engagement Initiatives to Drive Performance?

KEY RESPONSABILITIES :
• Learning and development programs
• Employee engagement initiatives
• Promoting a culture of continuous learning
• Enhancing the overall employee experience
• Assisting in the implementation of HR projects
• Supporting internal communications

CANDIDATE PROFILE & REQUIREMENTS :
• Currently pursuing a Master’s degree in Human Resources, Organizational Psychology, or a related field
• Strong interest in people development, employee experience, and organizational culture
• Eager to gain practical experience in a forward-thinking HR setting

Star date : Immediate

Location : Tunis",https://tn.linkedin.com/jobs/view/internship-hrbp-%E2%80%93-people-culture-catalyst-at-axe-finance-4237977723?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire Design Graphique,Rhis Software,"Rhis software cherche à recruter au sein de l'équipe RH , un Stagiaire Design Graphique
Objectif du stage : Contribuer à la création et à la déclinaison des supports visuels pour accompagner la stratégie de communication interne et externe de l’entreprise.
Missions principales :

Concevoir des supports graphiques pour le print et le digital : affiches, brochures, présentations, etc.

Créer des visuels pour les réseaux sociaux : posts, stories, bannières.

Participer à la mise en page de documents internes ou institutionnels.

Respecter et décliner l'identité visuelle de l’entreprise sur l’ensemble des supports.

Collaborer avec différents services pour répondre à leurs besoins graphiques.

Être force de proposition sur des concepts créatifs et innovants.",https://www.tanitjobs.com/job/1811316/stagiaire-design-graphique/?backPage&searchID=1747983773.9959&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire Développeur Fullstack (H/F),JOB2NEXT,"En tant que Stagiaire Développeur Fullstack, vous interviendrez sur l’ensemble des aspects techniques de la plateforme JOB2NEXT. Ce stage vous permettra d’acquérir une expertise complète en développement web.

Vos missions :

Concevoir et implémenter des fonctionnalités complètes, du frontend au backend.

Intégrer des APIs pour connecter les différentes parties du système.

Participer à la maintenance et à l’amélioration de la plateforme.

Collaborer avec les designers, développeurs et testeurs pour garantir une expérience utilisateur optimale.

Profil recherché :

Étudiant(e) en informatique, génie logiciel ou formation équivalente (Bac+3/5).

Maîtrise des technologies frontend (HTML, CSS, JavaScript) et backend (Node.js, Python, PHP).

Connaissances en intégration d’APIs et gestion de bases de données.

Curiosité et capacité à travailler sur des projets variés.

Avantages :

Travail en équipe sur des projets réels et challengeants.

Possibilité de formation sur les dernières technologies.

Télétravail et horaires flexibles.",https://job2next.com/jobs/stagiaire-developpeur-fullstack-h-f/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage pré embauche: Développeur IOS (SPED105),Smart Conseil,"Description de l'emploi

À propos de Smart Conseil
Smart Conseil est un éditeur de logiciels spécialisé en Big Data, Data Science et Intelligence Artificielle. Nous développons des solutions métiers innovantes pour accompagner la transformation digitale de nos clients. Dans le cadre de notre expansion, nous proposons un stage pré-embauche pour un(e) développeur iOS qui contribuera activement au développement, à l’intégration et à la maintenance de nos applications mobiles.

Missions principales :

En tant que stagiaire développeur iOS, vous serez encadré(e) par les autres membres de l'équipe et serez amené(e) à intervenir sur des projets concrets. Vos missions incluront :
• Développement de nouvelles fonctionnalités : Participer à la création d'interfaces utilisateurs et à l'amélioration de l'expérience client.
• Intégration de modules fonctionnels : Développer et intégrer des modules indépendants au sein de l'application.
• Revue de code : Participer à la revue et à l'optimisation du code produit par l’équipe.
• Déploiement et tests : Contribuer au déploiement des applications sur les plateformes iOS et assurer des phases de tests et de débogage rigoureux.
• Assistance technique : Veiller au bon fonctionnement des applications et intervenir pour résoudre les problèmes techniques.
• Collaboration avec l'équipe : Travailler en étroite collaboration avec les autres développeurs pour assurer la réussite des projets.

Exigences de l'emploi

Nous recherchons un(e) étudiant(e) passionné(e) par le développement mobile et prêt(e) à relever des défis techniques. Voici les qualités requises :
• Formation : Élevé ingénieur ou étudiant(e) en informatique, en école d’ingénieurs ou équivalent (bac+4/5).
• Compétences techniques :
• Bonne connaissance des outils de développement iOS (Xcode, Swift).
• Maîtrise des standards web : HTML5, CSS3, JavaScript, REST, Responsive/Adaptive Design.
• Familiarité avec les bases de données SQL et NoSQL.
• Compétences en communication : Bon niveau de français, capacité à travailler en équipe et à échanger sur les problématiques techniques.
• Autonomie et curiosité : Proactif(ve), capable de proposer des solutions pertinentes face aux problèmes techniques.

Avantages :
• Un cadre de travail agréable.
• Le développement de vos compétences.
• Tickets restaurants.
• Plusieurs possibilités d'évolution de carrière.
• Rémunération compétitive selon le profil.",https://www.offre-emploi.tn/offres-emploi/informatique-telecom-internet/stage-pre-embauche-developpeur-ios-sped105-110361/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
R dacteur De Contenu Web Stage Tunisie 2025,Sadja WebSolutions,"Sadja WebSolutions est lune des plus grandes agences num riques dans le monde. Nous sommes une entreprise leader dans la conception des Sites Web et dh bergement Web. Nous offrons des services professionnels tels que le Marketing en ligne la Conception et le D veloppement des Sites Web l h bergement Web et l enregistrement des noms de domaine la s curit Web la production de vid o le d veloppement des logiciels la conception des applications Mobiles et Web la cr ation graphique et toutes sortes doutils Web des prix d fiant toute concurrence.
Nous recherchons un r dacteur de contenu pour se joindre notre quipe la Tunisie distance. Le titulaire s panouit dans l art de raconter des histoires et de r sumer l essence de Sadja WebSolutions.
Responsabilit s
• G n rer des histoires passionnantes et convaincantes sur les sources de m dias num riques et imprim es
• Pr senter et apporter des id es et des concepts
• Collaborer avec les membres de l quipe pour assurer la production d un travail de haute qualit
• Participer toute autre t che pertinente li e au format crit: titres slogans copie de corps de texte description mots cl s d optimisation du moteur de recherche communication par courrier lectronique publications dans les m dias sociaux X(tweets) etc.
• R digez des d clarations d incitation l action efficaces du contenu SEO original pour les blogs une copie de campagne par courrier lectronique et une copie marketing
• Veiller ce que la direction soit inform e et au courant de l tat d avancement des projets et de toutes les informations pertinentes ou utiles relatives aux activit s quotidiennes
• La capacit g rer l ambigu t et l att nuer avec cr ativit est g n ralement essentielle pour une startup. L ambigu t est l occasion de d velopper un nouveau processus et d tablir une infrastructure solide.

Exigences
• Exp rience confirm e dans les concepts de narration tels que les nigmes la structure et le flux ainsi que l identification du public cible
• Excellentes capacit s de r daction et de persuasion
• Excellentes comp tences en communication orale et crite exp rience de la correction d preuves et de la r vision
• Capacit tablir des priorit s et travailler sur plusieurs t ches sur plusieurs projets avec des quipes interfonctionnelles
• Exp rience de l utilisation de Google Docs MS Office (Word Excel Outlook PowerPoint) de MS Project du logiciel Agile et de MS Visio ou d un produit similaire pour la gestion des processus
• Organis et disciplin avec une exp rience professionnelle dans l accomplissement des t ches temps et avec un niveau lev
• Une personne qui tient profond ment cr er une exp rience de marque unique
• Souci du d tail
• Parle couramment l anglais et le fran ais
• Les comp tences sont privil gi es pour Adobe Photoshop et Creative Suite vous pouvez g rer vos propres modifications la vol e
• La cr ativit n est pas limit e aux dipl mes mais une formation dans les m dias ou dans un domaine pertinent est un atout

Pourquoi rejoindre Sadja WebSolutions

Bien que ce stage ne soit pas r mun r les candidats auront lopportunit dapprendre gratuitement et de se d velopper professionnellement dans un environnement dynamique. En rejoignant notre quipe vous b n ficierez de :
• Mentorat et formation : Apprenez des experts de lindustrie et d veloppez vos comp tences en r daction et marketing.
• Opportunit s dembauche : Les stagiaires performants auront la possibilit de devenir des employ s plein temps.
• Exp rience pratique : Travaillez sur des projets r els et acqu rez une exp rience pr cieuse qui enrichira votre CV.
• Environnement collaboratif : Participez des projets diversifi s avec une quipe de professionnels d vou s.

Les candidats int ress s sont invit s soumettre leur CV et lettre de motivation. Rejoigneznous pour faire partie dune quipe innovante et contribuez cr er des exp riences num riques exceptionnelles !",https://www.drjobpro.com/ar/job/view/M9K5MUIQ6PWJKJR?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2 Offres de Stage chez AREMA : PFE en Marketing Digital / Design Graphique & Stage en Développement Web Spécifique,AREMA,"AREMA propose deux opportunités de stage pour des étudiant(e)s motivé(e)s dans les domaines suivants :

1. Stage PFE – Marketing digital / Design graphique / Informatique
Objectif : Accompagner notre équipe dans la gestion du site web (création de visuels, rédaction et mise en ligne d’annonces, mise à jour du contenu, etc.) et création contenu marketing digital
Profil recherché :

Étudiant(e) en dernière année (PFE) ou équivalent
Formation en marketing digital, design graphique ou informatique
Bonnes compétences de communication à l’oral comme à l’écrit du français, anglais et arabe souhaitée
Créatif(ve), autonome, à l’aise avec les outils numériques.

2. Stage – Développement plateforme informatique spécifique
Objectif : Contribuer à l’amélioration ou au développement d'une plateforme spécifique nécessitant l'Intelligence Artificielle (AI)
Profil recherché :

Étudiant(e) en dernière année (PFE) ou équivalent
À l’aise avec le développement web, les bases de données, ou la gestion de plateformes en ligne
Bonnes compétences de communication à l’oral comme à l’écrit du français, anglais et arabe souhaitée
Curieux(se), rigoureux(se), esprit d’initiative

Lieu du stage : Nabeul (mode hybride possible)
Merci d’envoyer votre CV",https://www.tanitjobs.com/job/1822044/2-offres-de-stage-chez-arema-pfe-en-marketing-digital-design-graphique-stage-en-d%C3%A9veloppement-web-sp%C3%A9cifique/?backPage=1&searchID=1748514329.4253&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Summer Internship 2025:  STM32 applications & support,STMicroelectronics,"OUR STORY

At ST, we believe in the power of technology to drive innovation and make a positive impact on people, business, and society. We are a global semiconductor company, and our advanced technology & chips forms the hidden part of the world we live in today.

When you join ST, you will be part of a global business of more than 115+ nationalities and present in 40 countries, 50,000+, diverse and dedicated creators & makers of technology around the world!

Developing technologies takes more than talent: it takes amazing people who understands collaboration and respect. People with passion and desire to disrupt the status quo, push boundaries and drive innovation – whilst unlocking your own potential.

Working at ST means innovating for a future that we want to make smarter, greener, in a responsible and sustainable way. Our technology starts with you. Join us and start the future!

YOUR ROLE

We are seeking motivated and talented students to join our development team for a two-month summer internship project.

You take part in an application team to discover STM32 MCUs and ecosystem of development either for new customers uses cases or existing ecosystem and technical support creation.

Below, you will find the titles of each project. We are looking for 04 interns for this period :
• Knowledge Article creation on USB Video webcam with STM32 MCUs
• Classification of structured data for GenAI use-case and regressions tests
• Edge-AI use case for Visual Fault detection using STM32N6-DK board in industrial Environment
• Getting started with Vittascience AI starter kit - STM32H7xx series and deployment for STEM activities in Local ecosystem

YOUR SKILLS & EXPERIENCES
• 2nd or 1st Year of engineering school
• Embedded C and STM32 MCUs
• English business proficiency

We encourage candidates who may not meet every single requirement to apply, as we appreciate diverse perspectives and provide opportunities for growth and learning. Diversity, Equity and Inclusion (DEI) is part of our company culture. Our DEI vision is, “At ST, you can be the true version of yourself”, we value all employee contributions and have zero tolerance for any kind of discrimination.

Joining us is also about a greater work-life balance and workplace with equal opportunities. Dedicated Employee Resource Groups for women and LGBTQIA+, hybrid work arrangements are amongst the many DEI & Sustainability initiatives that make us a great place to evolve your career.

To discover more, visit st.com/careers",https://stmicroelectronics.eightfold.ai/careers/job/563637161325860-summer-internship-2025-stm32-applications-support-tunis-tunisia?domain=stmicroelectronics.com&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage de pré-embauche commercial,Geeks Data consulting,"Description de l’emploi

Vous êtes intéressé(e) par la digitalisation des processus commerciaux et RH? Rejoignez-nous !

Geeks Data, éditeur de logiciels en forte croissance dans le domaine de l’Intelligence Artificielle, recrute un(e) chargé(e) de Ressources Humaines (H/F) pour renforcer une équipe RH spécialisée dans l’IT.

En tant que stagiaire, vous participerez, entre autres, aux tâches suivantes :
• Analyser les besoins de recrutement du groupe (en Tunisie et en France).
• Rédiger et mettre en ligne des annonces sur les différentes CVthèques.
• Présélection des candidatures : recrutement sur mission et sur profil.
• Approcher des candidats sur LinkedIn et sur d’autres réseaux professionnels.
• Planification des entrevues de validation avec les managers techniques.
• Qualifier les compétences des candidats lors d’un entretien présentiel ou téléphonique.
• Accompagnement des nouvelles recrues jusqu’à leur intégration en entreprise
• Coaching des consultants et mise en forme des CV
• Suivi d’intégration des nouveaux collaborateurs

Avantages
• Rémunération selon profil
• Tickets restaurants.
• Primes sur atteinte d’objectifs
• Un cadre de travail agréable.
• Plusieurs opportunités d’évolution de carrière.

Exigences du poste
• Avoir des connaissances sur l’IT.
• Être issu(e) d’une formation en management, commerce ou en gestion des Ressources Humaines.
• Avoir un esprit créatif et autonome.
• Avoir une bonne maîtrise du français à l’écrit comme à l’oral.

Comment postuler

Comment le candidat peut postuler à votre emploi. Vous pouvez laisser votre e.mail pour recevoir les candidatures

Informations complémentaires
• Adresse

Technopark El Ghazela, Bloc 23 1er étage, Ariana",https://www.keejob.com/offres-emploi/222522/commercial-de-terrain/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage Estetika,Estetika tour,"Estetika Tour, une entreprise spécialisée dans le tourisme esthétique haut de gamme, est à la recherche d’un(e) stagiaire qualifié(e) pour rejoindre notre équipe dynamique. Ce stage offrira une opportunité exceptionnelle de découvrir l’industrie du tourisme esthétique et d’acquérir une expérience précieuse dans un environnement en pleine croissance.",https://www.estetikatour.com/stage-estetika/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage PFE Dev Odoo,Smart Conseil,"Description du poste

SMART Conseil est un éditeur de logiciels spécialisé en Data Science et en Intelligence Artificielle. SM développe des solutions d’Intelligence Artificielle à haute valeur ajoutée en se basant sur un socle technologique moderne .

Nous sommes à la recherche d’un(e) stagiaire PFE Python/Odoo pour nous accompagner dans notre développement et intégrer une équipe dynamique et motivée.

Exigences de poste:
• Maitrise de Python et des concepts de programmation orienté objet.
• Maitrise de développement des modules sous Odoo (XML, html, css et Java Script).
• Maîtrise d’un ou de plusieurs SGBD : postgreSQL, MySQL, SQL Server, Oracle, Sybase.
• Maitrise de la gestion et de la migration des bases des données sous postgreSQL.
• Connaissance du système de contrôle de version comme git.
• Bonne connaissance du système d'exploitation Linux.
• Création de rapports PDF.
• Compréhension des enjeux métier pour assurer des développements cohérents.
• Maintenir en condition opérationnelle la plateforme.

Exigence du Poste
• Ingénieur Bac+5.
• Avoir un esprit critique.
• Communication efficace.
• Approche proactive de la résolution des problèmes.
• Curiosité intellectuelle.
• Sensibilité métier.",https://www.offre-emploi.tn/?p=110437&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Content lead- Intern - GOMYCODE Tunisia,GOMYCODE HOLDING B.V,"Content lead- Intern - GOMYCODE Tunisia
• Tunis, Tunisia

Company Description - About us

We are building the future of digital learning in the African continent. For us it is key to excel in everything that we do, and this starts with the people that we hire.

GOMYCODE is an educational platform that trains top talents on the newest skills and connects them with digital opportunities around the world. At GOMYCODE, we provide high-end education on cutting-edge technologies with a focus on projects in an environment that leaves lasting impressions and positively impacts our student lives.

GOMYCODE is looking for:
• Content lead- Intern - GOMYCODE Tunisia

Job Description
• Content Creation & Posting: Develop and schedule engaging social media posts to enhance brand visibility.
• Copywriting: Write captions to support marketing campaigns.
• Scriptwriting for Creative Ads: Content scripts for innovative advertising campaigns.
• Video Production & Editing: Shoot short-form video content (Reels, TikToks, etc.) to boost engagement.
• Campaign Content Execution: Produce visual content to align with the content framework
• Manage and assure the design of event visuals for all Hackerspaces
• Assist in planning and organizing online and physical events (both external and internal)
• Others could possibly be linked to the position according to the needs of the team.

Qualifications

The Content lead Intern should be:
• Comfortable with both English and French
• Proactive and have a sense of initiative.
• Creative and curious
• A people person
• An excellent listener
• Passionate and deeply committed to the subject matter.
• Excellent Communicator
• Community Builder
• Strong ethic worker
• Small Smiles are not accepted. Bring your big smile.

Our Offer:
• You will join a world-class team, determined to disrupt our industry.
• You will take part in the evolution and expansion of GOMYCODE on an international level
• You will feel the excitement of making decisions impacting the whole team.",https://www.bayt.com/ar/tunisia/jobs/content-lead-intern-gomycode-tunisia-72541695/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Offre de stage – Commercial(e) IT (3 à 6mois ),Turing Mind,"Turing Mind IT Consulting and Development
Présentation de l’entreprise :Turing Mind IT Consulting and Development est une société innovante spécialisée dans le conseil et le développement de solutions digitales sur mesure. Nous accompagnons nos clients dans leur transformation numérique et la mise en place de stratégies technologiques performantes.
Missions :En tant que stagiaire commercial(e), vous serez intégré(e) à l’équipe Sales et participerez activement au développement commercial de l’entreprise. Vos missions principales seront :

Prospecter de nouveaux clients (B2B) via LinkedIn, appels téléphoniques et campagnes emails ciblées

Qualifier les besoins des prospects et présenter nos offres de services IT

Participer à l’organisation et à la préparation des rendez-vous commerciaux

Contribuer à la rédaction des propositions commerciales et à la négociation

Assurer le suivi des leads et la mise à jour du CRM

Réaliser une veille concurrentielle et sectorielle

Proposer des idées pour améliorer les processus et la stratégie commerciale

Profil recherché :

Étudiant(e) en école de commerce, BTS ou équivalent (Bac+2 à Bac+5)

Intérêt pour le secteur IT et la transformation digitale

Aisance relationnelle, dynamisme et goût du challenge

Esprit d’équipe, autonomie et rigueur

Maîtrise des outils bureautiques et des réseaux sociaux professionnels (LinkedIn)

Une première expérience en développement commercial (stage, projet) est un plus

Modalités :

Stage conventionné de 3 à 6 mois

Prise de poste : dès que possible

Lieu : Tunis (télétravail possible)

Pourquoi rejoindre Turing Mind ?Vous évoluerez dans un environnement dynamique, au sein d’une équipe passionnée par l’innovation et la technologie, avec de réelles perspectives d’évolution à l’issue du stage.",https://www.tanitjobs.com/job/1812399/offre-de-stage-commercial-e-it-3-%C3%A0-6mois/?backPage=2&searchID=1725631532.0927&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Instructional Designer - Pre-hire Internship,Campusna,"🚀 𝐄𝐱𝐜𝐢𝐭𝐢𝐧𝐠 𝐏𝐫𝐞-𝐡𝐢𝐫𝐞 𝐈𝐧𝐭𝐞𝐫𝐧𝐬𝐡𝐢𝐩 𝐎𝐩𝐩𝐨𝐫𝐭𝐮𝐧𝐢𝐭𝐲: 𝐉𝐨𝐢𝐧 𝐔𝐬 𝐚𝐬 𝐚𝐧 𝐈𝐧𝐬𝐭𝐫𝐮𝐜𝐭𝐢𝐨𝐧𝐚𝐥 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫!

Put on your creativity hat and join us at Campusna ! We're on the hunt for a motivated 𝐈𝐧𝐬𝐭𝐫𝐮𝐜𝐭𝐢𝐨𝐧𝐚𝐥 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫 for a pre-hire internship. This is your chance to dive into the world of instructional design and create innovative e-learning materials!

✨ What we’re looking for:

📍 A strong will to learn and grow

📍 Familiarity with instructional design tools and applications

📍 Video editing skills (a definite plus!)

𝐀𝐧𝐝 𝐦𝐨𝐬𝐭 𝐢𝐦𝐩𝐨𝐫𝐭𝐚𝐧𝐭𝐥𝐲… 𝐚 𝐜𝐫𝐞𝐚𝐭𝐢𝐯𝐞 𝐦𝐢𝐧𝐝 𝐫𝐞𝐚𝐝𝐲 𝐭𝐨 𝐭𝐡𝐢𝐧𝐤 𝐨𝐮𝐭𝐬𝐢𝐝𝐞 𝐭𝐡𝐞 𝐛𝐨𝐱!

🌟 This is a fantastic opportunity to gain hands-on experience, unleash your creativity, and collaborate with a passionate team.",https://tn.linkedin.com/jobs/view/instructional-designer-pre-hire-internship-at-campusna-4226308079?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stagiaire Community manager,Binomial,"Nous sommes un cabinet français d'expertise comptable et contrôle de gestion basé à Paris, avec des bureaux à Tunis (Lac 1). Spécialisés dans la comptabilité, l'expertise comptable et le contrôle de gestion, nous accompagnons une clientèle internationale dans son développement.Dans le cadre du renforcement de notre visibilité digitale, nous recherchons un(e) stagiaire en community management et marketing digital pour dynamiser notre présence sur LinkedIn et Instagram.
Missions principales :

Créer, planifier et publier du contenu engageant (posts, carrousels, stories, vidéos courtes, etc.)

Prendre des photos et vidéos de qualité pour illustrer la vie du cabinet et ses activités

Participer à la définition de la stratégie éditoriale

Mettre en avant nos services, notre équipe et notre actualité

Interagir avec la communauté (réponses aux commentaires, messages, etc.)

Analyser les performances des publications et proposer des pistes d’optimisation

Ce que nous offrons :

Une immersion dans un environnement professionnel franco-tunisien stimulant

Une grande autonomie dans la création de contenu

Un bureau moderne situé au Lac 2

Une rémunération à discuter selon le profil et les compétences

Une expérience valorisante dans le domaine du marketing digital",https://www.tanitjobs.com/job/1810584/stagiaire-community-manager/?backPage&searchID=1747711100.972&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Business Analyst Intern,Kamioun - كميون,"Who we are

Kamioun is a mobile first platform that connects Fast Moving Consumer Goods (FMCG) manufacturers to corner shops. We enable small retailers to get their inventory through one face off, one click and in less than 24 hours free delivery. Kamioun is a first mover working on an emerging technology that is the next big thing in B2B retail tech. With a diverse, multicultural and on-the-move team, Kamioun is looking to make waves and shake up things in the Startup sector in Tunisia starting with our 2000+ retailers that use our app.

As a Business Analyst:
• You will assist in the current fundraising round through the preparation of deliverables to investors or any other stakeholders
• You will participate in the implementation of a solid, reliable and transparent reporting founded upon structured data flows (to include analytical accounting)
• You will participate in the implementation of a data driven structure of decision making
• You will understand business needs and write functional specification accordingly linked to our accounting and financial needs
• You will do market intelligence and participate in proposing enhancements

Who you are
• You are a Finance master degree student or fresh graduate or equivalent.
• You are familiar with fundraising process, mergers and acquisitions, financial valuations and corporate finance in general
• You have a solid knowledge in using Microsoft Office (Mainly Excel and Powerpoint)
• You are a driven, a self-learner with an ability to solve complex problems
• You have a passion for building good quality deliverable
• You are extremely analytical and enjoy working based on scientific principles
• You possess excellent written and verbal communication skills
• You are fluent in English and in French
• You are able to build good working relationships with individuals across the entire business
• You enjoy working in a fast paced, challenging, highly innovative, collaborative environment

What we will offer
• 150 to 300 TND monthly stipend
• Remote work once a week
• Bonus at the end of the internship based on quality of work up to 100%
• An environment where you can get your hands dirty into several and interesting topics in a fast-paced start-up
• Work every day beside an experienced top-notch team with a track record in both emerging and developed markets",https://kamioun.freshteam.com/jobs/v0p5gKXPpMKQ/business-analyst-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
[STAGE PFE ] - Graphic Design,Fabskill,"Description Du Poste

À propos de nous:

FabSkill est une plateforme de recrutement qui permet de rencontrer des recruteurs Tunisiens et internationaux et de passer des entretiens de recrutement en vidéo.

Description De L'offre

Nous recherchons un(e) stagiaire PFE talentueux(se) en Design Graphique pour rejoindre notre équipe chez FabSkill et nous aider à créer des designs innovants pour nos clients.

Responsabilités
• Créer des designs graphiques innovants pour les besoins de nos clients.
• Travailler en étroite collaboration avec les équipes de conception pour s'assurer que les projets sont livrés dans les délais impartis et répondent aux exigences des clients.
• Participer à l'élaboration de campagnes publicitaires.

Exigences
• Maîtrise de Design Graphique.
• Maîtrise d'Adobe Photoshop et d'autres outils de conception similaires.
• Capacité à créer du contenu de qualité et à respecter les délais impartis.",https://tn.linkedin.com/jobs/view/stage-pfe-graphic-design-at-fabskill-4122983113?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
